Date,Discharge
5/17/1944,680
5/18/1944,606
5/19/1944,513
5/20/1944,452
5/21/1944,408
5/22/1944,415
5/23/1944,732
5/24/1944,984
5/25/1944,904
5/26/1944,755
5/27/1944,680
5/28/1944,961
5/29/1944,779
5/30/1944,632
5/31/1944,551
6/1/1944,504
6/2/1944,482
6/3/1944,432
6/4/1944,385
6/5/1944,338
6/6/1944,304
6/7/1944,291
6/8/1944,307
6/9/1944,275
6/10/1944,298
6/11/1944,390
6/12/1944,350
6/13/1944,270
6/14/1944,242
6/15/1944,236
6/16/1944,245
6/17/1944,269
6/18/1944,236
6/19/1944,330
6/20/1944,389
6/21/1944,393
6/22/1944,342
6/23/1944,324
6/24/1944,356
6/25/1944,508
6/26/1944,1320
6/27/1944,646
6/28/1944,469
6/29/1944,378
6/30/1944,385
7/1/1944,335
7/2/1944,275
7/3/1944,236
7/4/1944,213
7/5/1944,197
7/6/1944,181
7/7/1944,166
7/8/1944,154
7/9/1944,143
7/10/1944,134
7/11/1944,134
7/12/1944,157
7/13/1944,318
7/14/1944,251
7/15/1944,202
7/16/1944,168
7/17/1944,150
7/18/1944,147
7/19/1944,138
7/20/1944,134
7/21/1944,150
7/22/1944,145
7/23/1944,138
7/24/1944,129
7/25/1944,123
7/26/1944,114
7/27/1944,110
7/28/1944,118
7/29/1944,122
7/30/1944,108
7/31/1944,100
8/1/1944,94
8/2/1944,88
8/3/1944,80
8/4/1944,74
8/5/1944,68
8/6/1944,66
8/7/1944,70
8/8/1944,78
8/9/1944,114
8/10/1944,84
8/11/1944,68
8/12/1944,60
8/13/1944,52
8/14/1944,54
8/15/1944,220
8/16/1944,200
8/17/1944,140
8/18/1944,160
8/19/1944,210
8/20/1944,155
8/21/1944,122
8/22/1944,110
8/23/1944,106
8/24/1944,135
8/25/1944,280
8/26/1944,235
8/27/1944,175
8/28/1944,145
8/29/1944,135
8/30/1944,120
8/31/1944,110
9/1/1944,102
9/2/1944,94
9/3/1944,88
9/4/1944,84
9/5/1944,80
9/6/1944,76
9/7/1944,70
9/8/1944,64
9/9/1944,64
9/10/1944,60
9/11/1944,58
9/12/1944,64
9/13/1944,112
9/14/1944,390
9/15/1944,1130
9/16/1944,755
9/17/1944,482
9/18/1944,367
9/19/1944,307
9/20/1944,278
9/21/1944,254
9/22/1944,219
9/23/1944,197
9/24/1944,184
