STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT09,WT14,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00302036,DELHI 2 SE NY US,19401219,-9999,-9999,-9999,-9999,0,25,0,33,-106,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401220,-9999,-9999,-9999,-9999,0,-9999,0,50,0,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401221,-9999,-9999,-9999,-9999,0,-9999,0,122,-50,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401222,-9999,-9999,-9999,-9999,8,0,0,44,-6,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401223,-9999,-9999,-9999,-9999,0,0,0,11,-50,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401224,-9999,-9999,-9999,-9999,0,0,0,61,-106,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401225,-9999,-9999,-9999,-9999,0,0,0,111,-61,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401226,-9999,-9999,-9999,-9999,0,0,0,61,-44,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401227,-9999,-9999,-9999,-9999,23,0,0,61,22,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401228,-9999,-9999,-9999,-9999,43,0,0,111,39,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401229,-9999,-9999,-9999,-9999,64,0,0,122,61,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401230,-9999,-9999,-9999,-9999,20,0,0,106,6,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401231,-9999,-9999,-9999,-9999,0,0,0,61,0,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410101,-9999,-9999,-9999,-9999,0,0,0,44,-11,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410102,-9999,-9999,-9999,-9999,8,0,0,-6,-78,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410103,-9999,-9999,-9999,-9999,69,51,51,17,-39,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410104,-9999,-9999,-9999,-9999,0,51,0,11,-28,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410105,-9999,-9999,-9999,-9999,25,76,25,6,-122,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410106,-9999,-9999,-9999,-9999,0,76,0,-44,-122,-106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410107,-9999,-9999,-9999,-9999,0,76,0,-28,-156,-61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410108,-9999,-9999,-9999,-9999,0,76,0,-22,-194,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410109,-9999,-9999,-9999,-9999,25,76,25,-17,-156,-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410110,-9999,-9999,-9999,-9999,0,76,0,-6,-44,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410111,-9999,-9999,-9999,-9999,0,76,0,-17,-150,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410112,-9999,-9999,-9999,-9999,0,76,0,-28,-167,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410113,-9999,-9999,-9999,-9999,0,76,0,-11,-111,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410114,-9999,-9999,-9999,-9999,0,76,0,-111,-189,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410115,-9999,-9999,-9999,-9999,0,76,0,-67,-194,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410116,-9999,-9999,-9999,-9999,8,76,0,-11,-78,-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410117,-9999,-9999,-9999,-9999,5,76,0,22,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410118,-9999,-9999,-9999,-9999,0,51,0,61,-50,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410119,-9999,-9999,-9999,-9999,18,51,0,44,-72,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410120,-9999,-9999,-9999,-9999,0,51,0,-72,-111,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410121,-9999,-9999,-9999,-9999,0,51,0,-22,-178,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410122,-9999,-9999,-9999,-9999,8,51,0,56,-117,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410123,-9999,-9999,-9999,-9999,0,51,0,44,-61,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410124,-9999,-9999,-9999,-9999,102,152,114,-22,-94,-67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
